model,tier,params,accuracy,macro_f1,halluc_pct,latency_p50,latency_p95,f1_BILLING,f1_TECHNICAL,f1_ACCOUNT,f1_SHIPPING,f1_RETURNS,f1_GENERAL
Llama-3.2-3B,SLM,3B,86.7,85.2,0.0,195,684,100.0,100.0,90.9,57.1,83.3,80.0
Phi4-Mini,SLM,3.8B,73.3,73.1,0.0,252,823,57.1,57.1,90.9,75.0,83.3,75.0
Gemma3-4B,SLM,4B,86.7,85.4,0.0,290,521,88.9,100.0,100.0,57.1,83.3,83.3
Qwen2.5-7B,SLM,7B,86.7,86.1,0.0,225,431,83.3,83.3,100.0,100.0,75.0,75.0
Mistral-7B,SLM,7B,83.3,83.6,0.0,177,459,80.0,76.9,88.9,100.0,88.9,66.7
Llama-3.1-8B,SLM,8B,86.7,86.8,0.0,371,1411,88.9,76.9,100.0,88.9,90.9,75.0
Llama-3.3-70B,LLM,70B,83.3,83.4,0.0,324,2432,90.9,76.9,88.9,88.9,80.0,75.0
