model_name,tier,params,accuracy,precision,recall,f1,tp,fp,tn,fn,hallucination_pct,latency_p50_ms,latency_p95_ms
Llama-3.2-3B,SLM,3B,56.67,100.0,38.1,55.17,24,0,27,39,0.0,210,978
Phi4-Mini,SLM,3.8B,80.0,100.0,71.43,83.33,45,0,27,18,0.0,222,899
Gemma3-4B,SLM,4B,76.67,100.0,66.67,80.0,42,0,27,21,0.0,311,565
Qwen2.5-7B,SLM,7B,60.0,100.0,42.86,60.0,27,0,27,36,0.0,221,525
Mistral-7B,SLM,7B,90.0,87.5,100.0,93.33,63,9,18,0,0.0,155,418
Llama-3.1-8B,SLM,8B,66.67,100.0,52.38,68.75,33,0,27,30,0.0,331,2413
Llama-3.3-70B,LLM,70B,90.0,100.0,85.71,92.31,54,0,27,9,0.0,319,2428
