model,tier,params,accuracy,macro_f1,f1_POSITIVE,f1_NEGATIVE,f1_NEUTRAL,halluc_pct,latency_p50,latency_p95
Llama-3.2-3B,SLM,3B,93.3,91.7,95.7,96.0,83.3,0.0,213,892
Phi4-Mini,SLM,3.8B,86.7,82.4,91.7,88.9,66.7,0.0,220,855
Gemma3-4B,SLM,4B,90.0,88.2,95.7,88.9,80.0,0.0,284,559
Qwen2.5-7B,SLM,7B,90.0,88.0,87.0,100.0,76.9,0.0,219,454
Mistral-7B,SLM,7B,95.5,94.3,97.1,95.7,90.0,1.1,186,469
Llama-3.1-8B,SLM,8B,93.3,92.4,95.7,95.7,85.7,0.0,317,1633
Llama-3.3-70B,LLM,70B,96.7,96.0,95.7,100.0,92.3,0.0,289,609
