model,tier,params,accuracy,macro_f1,halluc_pct,latency_p50,latency_p95,f1_SECURITY,f1_LOGIC_ERROR,f1_PERFORMANCE,f1_BEST_PRACTICE,f1_CLEAN
Llama-3.2-3B,SLM,3B,26.7,16.9,0.0,272,1448,0,50.0,0,34.5,0
Phi4-Mini,SLM,3.8B,20.0,7.3,0.0,307,1433,0,36.4,0,0,0
Gemma3-4B,SLM,4B,33.3,28.5,0.0,358,755,61.5,48.0,0,18.2,15.0
Qwen2.5-7B,SLM,7B,33.3,25.7,0.0,221,699,60.0,0,28.6,0,40.0
Mistral-7B,SLM,7B,13.3,12.8,0.0,259,1037,0,30.8,33.3,0,0
Llama-3.1-8B,SLM,8B,46.7,46.0,0.0,489,3661,55.6,72.7,50.0,33.3,18.2
Llama-3.3-70B,LLM,70B,61.1,59.1,0.0,352,2407,69.6,60.0,80.0,22.2,63.8
