model,tier,params,accuracy,macro_f1,halluc_pct,latency_p50,latency_p95,f1_HIGH_RISK,f1_MEDIUM_RISK,f1_LOW_RISK,f1_STANDARD
Llama-3.2-3B,SLM,3B,26.7,16.0,0.0,307,1739,25.0,38.9,0,0
Phi4-Mini,SLM,3.8B,36.7,25.4,0.0,12350,17266,66.7,34.8,0,0
Gemma3-4B,SLM,4B,26.7,23.6,0.0,12009,24984,50.0,22.2,0,22.2
Qwen2.5-7B,SLM,7B,53.3,52.2,0.0,260,16379,87.5,71.4,18.2,31.6
Mistral-7B,SLM,7B,20.0,12.5,0.0,297,844,50.0,0,0,0
Llama-3.1-8B,SLM,8B,40.0,33.9,0.0,408,2785,66.7,42.1,26.7,0
Llama-3.3-70B,LLM,70B,57.8,50.0,0.0,355,2513,78.4,57.9,0,63.6
