model,tier,params,overall_acc,json_valid_pct,p50_ms,p95_ms,acc_vendor_name,acc_invoice_date,acc_invoice_number,acc_total_amount,acc_tax_amount,acc_line_item_count
Llama-3.2-3B,SLM,3B,87.0,98.9,2125,3032,98.9,92.2,98.9,90.0,80.0,62.2
Phi4-Mini,SLM,3.8B,92.2,100.0,3209,4623,100.0,100.0,100.0,100.0,86.7,66.7
Gemma3-4B,SLM,4B,90.0,100.0,3251,3763,100.0,96.7,100.0,100.0,76.7,66.7
Qwen2.5-7B,SLM,7B,91.1,100.0,3715,4395,100.0,100.0,100.0,100.0,83.3,63.3
Mistral-7B,SLM,7B,90.0,100.0,4625,5626,100.0,96.7,96.7,100.0,90.0,56.7
Llama-3.1-8B,SLM,8B,89.5,100.0,4776,7641,100.0,96.7,100.0,100.0,76.7,63.3
Llama-3.3-70B,LLM,70B,91.1,100.0,2393,2516,100.0,100.0,100.0,100.0,83.3,63.3
